"id"	"hr"	"datetime"	"time"	"trl_no"	"blk_no"	"cd_so"	"cd_fr"	"img"	"rslt"	"rate"	"rt"	"r_ans"	"angle"	"end_spin"	"t_now"	"AQ"	"TAS"	"DDF"	"DIF"	"EOT"	"EC"	"PT"	"TheOutcome"	"Gain"	"PE"
"110"	"09_A"	80	"31-May-2019 11:26:57"	14734.6745	110	19	2	1	"wheel_01"	"2"	35.8974	4824.5557	1	1011.7617	288	14744.5178	23	51	14	18	19	17	15	-1	-5	-4
"111"	"09_A"	80	"31-May-2019 11:27:07"	14744.6315	111	19	2	1	"wheel_02"	"3"	50	853.9167	1	825.4878	108	14750.4516	23	51	14	18	19	17	15	-2	0	2
"112"	"09_A"	80	"31-May-2019 11:27:17"	14754.6057	112	19	2	1	"wheel_10"	"2"	50.1832	3042.7584	1	783.7974	60	14762.6667	23	51	14	18	19	17	15	0.83	-5	-5.83
"113"	"09_A"	80	"31-May-2019 11:27:27"	14764.578	113	19	2	1	"wheel_05"	"3"	48.5348	3264.3637	1	829.6857	108	14772.813	23	51	14	18	19	17	15	0	0	0
"114"	"09_A"	80	"31-May-2019 11:27:38"	14775.5448	114	19	2	1	"wheel_04"	"2"	23.0769	2995.6703	1	829.9495	120	14783.4984	23	51	14	18	19	17	15	-0.83	-5	-4.17
"115"	"09_A"	80	"31-May-2019 11:27:52"	14789.8295	115	20	2	1	"wheel_09"	"1"	57.6923	2690.7564	1	1015.795	288	14797.4707	23	51	14	18	19	17	15	1	5	4
"116"	"09_A"	80	"31-May-2019 11:28:02"	14799.7908	116	20	2	1	"wheel_08"	"3"	46.1538	3879.4141	1	1037.8617	324	14808.7097	23	51	14	18	19	17	15	0	0	0
"117"	"09_A"	80	"31-May-2019 11:28:12"	14809.7554	117	20	2	1	"wheel_11"	"3"	36.9963	1065.1729	1	768.0953	36	14815.827	23	51	14	18	19	17	15	2	0	-2
"118"	"09_A"	80	"31-May-2019 11:28:22"	14819.7211	118	20	2	1	"wheel_12"	"1"	57.8755	2615.5818	1	822.0202	90	14827.2918	23	51	14	18	19	17	15	1.67	5	3.33
"119"	"09_A"	80	"31-May-2019 11:28:32"	14829.684	119	20	2	1	"wheel_03"	"1"	68.4982	4753.0008	1	1046.3737	330	14839.3975	23	51	14	18	19	17	15	-1.67	5	6.67
"120"	"09_A"	80	"31-May-2019 11:28:43"	14840.655	120	20	2	1	"wheel_07"	"2"	45.2381	3533.1049	1	752.4832	30	14849.1813	23	51	14	18	19	17	15	0.83	-5	-5.83
"121"	"09_A"	80	"31-May-2019 11:28:57"	14854.9556	121	21	1	1	"wheel_05"	"3"	49.2674	1319.1004	1	832.3941	108	14861.2669	23	51	14	18	19	17	15	0	0	0
"122"	"09_A"	80	"31-May-2019 11:29:07"	14864.924	122	21	1	1	"wheel_06"	"1"	57.5092	2415.0458	1	752.6861	30	14872.3615	23	51	14	18	19	17	15	-0.83	5	5.83
"123"	"09_A"	80	"31-May-2019 11:29:17"	14874.8949	123	21	1	1	"wheel_10"	"2"	50	2694.7007	1	777.0843	60	14882.6209	23	51	14	18	19	17	15	0.83	-5	-5.83
"124"	"09_A"	80	"31-May-2019 11:29:27"	14884.8601	124	21	1	1	"wheel_01"	"2"	50	1162.0188	1	1015.278	288	14891.0492	23	51	14	18	19	17	15	-1	-5	-4
"125"	"09_A"	80	"31-May-2019 11:29:37"	14894.8263	125	21	1	1	"wheel_02"	"3"	48.3516	2272.1374	1	826.0329	108	14902.0537	23	51	14	18	19	17	15	-2	0	2
"126"	"09_A"	80	"31-May-2019 11:29:48"	14905.7915	126	21	1	1	"wheel_04"	"2"	48.3516	2933.4947	1	831.4544	120	14913.7242	23	51	14	18	19	17	15	-0.83	-5	-4.17
"127"	"09_A"	80	"31-May-2019 11:30:02"	14920.0739	127	22	2	2	"wheel_03"	"3"	41.7582	5019.1343	0	955.8079	240	14930.0468	23	51	14	18	19	17	15	-1.67	0	1.67
"128"	"09_A"	80	"31-May-2019 11:30:12"	14930.0676	128	22	2	2	"wheel_02"	"2"	49.6337	3044.7324	1	984.7442	252	14938.1714	23	51	14	18	19	17	15	-2	-5	-3
